"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","ST58CV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Cortical Volume (aparc.stats) of LeftSuperiorTemporal","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST59SA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Surface Area (aparc.stats) of LeftSupramarginal","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST59TA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Average (aparc.stats) of LeftSupramarginal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST59TS","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Stardard Deviation (aparc.stats) of LeftSupramarginal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST59CV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Cortical Volume (aparc.stats) of LeftSupramarginal","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST60SA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Surface Area (aparc.stats) of LeftTemporalPole","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST60TA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Average (aparc.stats) of LeftTemporalPole","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST60TS","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Stardard Deviation (aparc.stats) of LeftTemporalPole","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST60CV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Cortical Volume (aparc.stats) of LeftTemporalPole","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST61SV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Subcortical Volume (aseg.stats) of LeftThalamus","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST62SA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Surface Area (aparc.stats) of LeftTransverseTemporal","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST62TA","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Average (aparc.stats) of LeftTransverseTemporal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST62TS","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Thickness Stardard Deviation (aparc.stats) of LeftTransverseTemporal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST62CV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Cortical Volume (aparc.stats) of LeftTransverseTemporal","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST65SV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Subcortical Volume (aseg.stats) of LeftVentralDC","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST66SV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Subcortical Volume (aseg.stats) of LeftVessel","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST68SV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Subcortical Volume (aseg.stats) of NonWMHypoIntensities","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","ST69SV","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Subcortical Volume (aseg.stats) of OpticChiasm","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
