"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","ST73TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of RightCaudalAnteriorCingulate","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST74CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of RightCaudalMiddleFrontal","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST74SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of RightCaudalMiddleFrontal","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST74TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of RightCaudalMiddleFrontal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST74TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of RightCaudalMiddleFrontal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST75SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of RightCaudate","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST76SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of RightCerebellumCortex","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST77SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of RightCerebellumWM","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST78SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of RightCerebralCortex","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST79SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of RightCerebralWM","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST7SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of Csf","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST80SV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (WM Parcellation) of RightChoroidPlexus","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST81CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of RightCorpusCallosum","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST81SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of RightCorpusCallosum","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST81TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of RightCorpusCallosum","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST81TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of RightCorpusCallosum","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST82CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of RightCuneus","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST82SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of RightCuneus","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST82TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of RightCuneus","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST82TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of RightCuneus","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST83CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of RightEntorhinal","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST83SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of RightEntorhinal","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST83TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of RightEntorhinal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST83TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of RightEntorhinal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST84CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of RightFrontalPole","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST84SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of RightFrontalPole","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST84TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of RightFrontalPole","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST84TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of RightFrontalPole","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST85CV","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Volume (Cortical Parcellation) of RightFusiform","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST85SA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Surface Area of RightFusiform","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST85TA","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Average of RightFusiform","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","ST85TS","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Cortical Thickness Standard Deviation of RightFusiform","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
